"title" "path"
"1" "[問片] 問一部有鑽石，雷射跟猩猩的電影" "/bbs/movie/M.1475334121.A.856.html"
"2" "[普雷] 怪奇孤兒院劇情設定求解" "/bbs/movie/M.1475335101.A.AF6.html"
"3" "Re: [討論] 甄子丹那麼帥 為什麼沒有紅???" "/bbs/movie/M.1475335600.A.34A.html"
"4" "[問片] 想問一部喪禮兄弟姊妹都回家的電影" "/bbs/movie/M.1475336387.A.922.html"
"5" "[好雷] 屍速列車 重要的是選擇" "/bbs/movie/M.1475336405.A.EE0.html"
"6" "[片單] 有很多便當雜魚的電影" "/bbs/movie/M.1475336665.A.639.html"
"7" "[問片] 一個女孩被追殺 最後....(雷)" "/bbs/movie/M.1475337061.A.44A.html"
"8" "[情報] 2016 北美10~12月上映電影列表" "/bbs/movie/M.1475338116.A.262.html"
"9" "[爛片]怪奇孤兒院o'_'o" "/bbs/movie/M.1475338592.A.753.html"
"10" "[問片] 裝潢工人偷看女主人" "/bbs/movie/M.1475339153.A.F03.html"
"11" "[公告] 多人水桶" "/bbs/movie/M.1475339196.A.CF8.html"
"12" "Re: [片單] 有很多便當雜魚的電影" "/bbs/movie/M.1475339481.A.35A.html"
"13" "[問片] 西洋片一個小男孩在收集字卡" "/bbs/movie/M.1475340616.A.AA4.html"
"14" "[問片] 一部 woody allen 的影片" "/bbs/movie/M.1475341011.A.051.html"
"15" "[討論] 屍速列車的阿嬤妹（無雷）" "/bbs/movie/M.1475341892.A.1F9.html"
"16" "[請益] 怪奇孤兒院的問題" "/bbs/movie/M.1475342162.A.811.html"
"17" "[問片] 一部男主角在美國流浪的電影" "/bbs/movie/M.1475343482.A.57C.html"
"18" "[問片] 愛斯基摩人尋找青梅竹馬" "/bbs/movie/M.1475343640.A.DA9.html"
"19" "[  好雷] 好憋的暫時停止呼吸" "/bbs/movie/M.1475344776.A.93A.html"
"20" "[問片] 聖誕老人拿斧頭的恐怖片" "/bbs/movie/M.1475346464.A.5F7.html"
"21" "[請益] 奇士勞斯基的《紅色情深》" "/bbs/movie/M.1475347340.A.784.html"
"22" "[請益] 神鬼間諜史諾登片尾曲" "/bbs/movie/M.1475347979.A.0E8.html"
"23" "[影片] 李安x童子賢對談：探索與創造" "/bbs/movie/M.1475350795.A.BE1.html"
"24" "[討論] 最讓你生氣的片段" "/bbs/movie/M.1475351383.A.FAE.html"
"25" "Re: [新聞] 金馬獎入圍名單 聞天祥：香港電影表現精" "/bbs/movie/M.1475351678.A.FE6.html"
"26" "[新聞] 金馬影后慘落水　桂綸鎂野放怕蛇突襲" "/bbs/movie/M.1475352254.A.94E.html"
"27" "Re: [普雷] 警匪片黑白與菜鳥 " "/bbs/movie/M.1475352386.A.5F8.html"
"28" "[好雷] 薩利機長：哈德遜奇蹟" "/bbs/movie/M.1475352409.A.894.html"
"29" "[新聞] 趙德胤鍾孟宏助攻34項  台灣影人興奮了嗎" "/bbs/movie/M.1475354410.A.086.html"
"30" "Re: [片單] 有很多便當雜魚的電影" "/bbs/movie/M.1475359233.A.7BD.html"
"31" "[問片] 想問一部有關美國警察的電影" "/bbs/movie/M.1475367592.A.FD1.html"
"32" "[新聞] 趙德胤金馬入圍MVP PO回憶文有洋蔥" "/bbs/movie/M.1475368188.A.0EB.html"
"33" "[ 好 雷] 決鯊島" "/bbs/movie/M.1475372175.A.BBD.html"
"34" "Re: [討論] 最讓你生氣的片段" "/bbs/movie/M.1475372421.A.D2A.html"
"35" "[新聞]李安爆「真的很討厭拍電影」" "/bbs/movie/M.1475375285.A.B8A.html"
"36" "[問片] 關於一部愛情西洋片" "/bbs/movie/M.1475375553.A.5C8.html"
"37" "[問片]《楚門的世界》一部主角逃出的故事(有雷)" "/bbs/movie/M.1475375925.A.F20.html"
"38" "Re: [討論] 兩部作品形象差太多，導致認不出演員" "/bbs/movie/M.1475376162.A.AFD.html"
"39" "[新聞]《美女與野獸》劇照曝光 艾瑪華森與野獸共" "/bbs/movie/M.1475378094.A.E95.html"
"40" "[選片] 薩利機長＆暫時停止呼吸" "/bbs/movie/M.1475379061.A.1C6.html"
"41" "Re: [討論] 情書電影翻譯" "/bbs/movie/M.1475380343.A.891.html"
"42" "[請益] 西部戰線" "/bbs/movie/M.1475381260.A.1CB.html"
"43" "Re: [片單] 富有教育意義的電影" "/bbs/movie/M.1475381461.A.25F.html"
"44" "[問片] 一部女主住寄宿學校的老片" "/bbs/movie/M.1475381707.A.1FF.html"
"45" "[好雷] 瓊斯的自由國度/南北戰爭" "/bbs/movie/M.1475382521.A.3F0.html"
"46" "[新聞] 「腦中住了恐怖份子」 羅賓威廉斯生前飽" "/bbs/movie/M.1475383314.A.948.html"
"47" "[好雷]屍速列車 | 善惡抉擇 " "/bbs/movie/M.1475383931.A.A1B.html"
"48" "Re: [討論] 兩部作品形象差太多，導致認不出演員" "/bbs/movie/M.1475384795.A.7B6.html"
"49" "Re: [片單] 有很多便當雜魚的電影-和平飯店" "/bbs/movie/M.1475384953.A.9FB.html"
"50" "[好雷] 屍變危機下的逃命旅程，談《屍速列車》" "/bbs/movie/M.1475385460.A.6FA.html"
"51" "Re: [問片]《楚門的世界》一部主角逃出的故事(有雷)" "/bbs/movie/M.1475385625.A.A16.html"
"52" "Fw: [新聞] 哪裡人？ 李安秒回「我是台灣人」" "/bbs/movie/M.1475385724.A.CCD.html"
"53" "[片單]能撫慰單身男同性戀者漫漫長夜的電影?" "/bbs/movie/M.1475385954.A.B80.html"
"54" "[微好雷] 白晝之雨-等待雨後天晴的彩虹 " "/bbs/movie/M.1475386490.A.F05.html"
"55" "[討論] 黑色追緝令哪個場景最經典？" "/bbs/movie/M.1475387178.A.AC0.html"
"56" "Re: [新聞] 哪裡人？ 李安秒回「我是台灣人」" "/bbs/movie/M.1475388857.A.5D0.html"
"57" "[討論] 寒戰" "/bbs/movie/M.1475389019.A.17C.html"
"58" "[討論] 小班與麥特戴蒙為「他」爭風吃醋 美國隊" "/bbs/movie/M.1475389113.A.B4B.html"
